CCTV,#genre#
CCTV1,http://39.135.32.29:6610/PLTV/77777777/224/3221225654/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.135.32.29:6610/PLTV/77777777/224/3221225657/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.135.32.29:6610/PLTV/77777777/224/3221225677/index.m3u8?IASHttpSessionId=OTT
CCTV4,http://39.135.32.29:6610/PLTV/77777777/224/3221225753/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://39.135.32.29:6610/PLTV/77777777/224/3221225516/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.135.32.29:6610/PLTV/77777777/224/3221225621/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.135.32.29:6610/PLTV/77777777/224/3221225683/index.m3u8?IASHttpSessionId=OTT
CCTV7,http://39.135.32.29:6610/PLTV/77777777/224/3221225627/index.m3u8?IASHttpSessionId=OTT
CCTV8,http://39.135.32.29:6610/PLTV/77777777/224/3221225630/index.m3u8?IASHttpSessionId=OTT
CCTV9,http://39.135.32.29:6610/PLTV/77777777/224/3221225633/index.m3u8?IASHttpSessionId=OTT
CCTV10,http://39.135.32.29:6610/PLTV/77777777/224/3221225624/index.m3u8?IASHttpSessionId=OTT
CCTV10,http://39.135.32.29:6610/PLTV/77777777/224/3221225704/index.m3u8?IASHttpSessionId=OTT
CCTV11,http://39.135.32.29:6610/PLTV/77777777/224/3221225739/index.m3u8?IASHttpSessionId=OTT
CCTV12,http://39.135.32.29:6610/PLTV/77777777/224/3221225645/index.m3u8?IASHttpSessionId=OTT
CCTV12,http://39.135.32.29:6610/PLTV/77777777/224/3221225670/index.m3u8?IASHttpSessionId=OTT
CCTV13,http://39.135.32.29:6610/PLTV/77777777/224/3221225759/index.m3u8?IASHttpSessionId=OTT
CCTV13,http://39.135.32.29:6610/PLTV/77777777/224/3221225742/index.m3u8?IASHttpSessionId=OTT
CCTV14,http://39.135.32.29:6610/PLTV/77777777/224/3221225648/index.m3u8?IASHttpSessionId=OTT
CCTV15,http://39.135.32.29:6610/PLTV/77777777/224/3221225693/index.m3u8?IASHttpSessionId=OTT
CCTV16,http://39.135.32.29:6610/PLTV/77777777/224/3221225897/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV17,http://39.135.32.29:6610/PLTV/77777777/224/3221225513/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://39.135.32.29:6610/PLTV/77777777/224/3221225660/index.m3u8?IASHttpSessionId=OTT
CCTV9,http://39.135.32.29:6610/PLTV/77777777/224/3221225663/index.m3u8?IASHttpSessionId=OTT
CCTV14,http://39.135.32.29:6610/PLTV/77777777/224/3221225673/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.32.29:6610/PLTV/77777777/224/3221225674/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.135.32.29:6610/PLTV/77777777/224/3221225676/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://39.135.32.29:6610/PLTV/77777777/224/3221225680/index.m3u8?IASHttpSessionId=OTT
CCTV7,http://39.135.32.29:6610/PLTV/77777777/224/3221225700/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.135.32.29:6610/PLTV/77777777/224/3221225712/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.135.32.29:6610/PLTV/77777777/224/3221225713/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.135.32.29:6610/PLTV/77777777/224/3221225715/index.m3u8?IASHttpSessionId=OTT
CCTV8,http://39.135.32.29:6610/PLTV/77777777/224/3221225716/index.m3u8?IASHttpSessionId=OTT
CCTV11,http://39.135.32.29:6610/PLTV/77777777/224/3221225750/index.m3u8?IASHttpSessionId=OTT
CCTV4,http://39.135.32.29:6610/PLTV/77777777/224/3221225761/index.m3u8?IASHttpSessionId=OTT
CCTV17,http://39.135.32.29:6610/PLTV/77777777/224/3221225766/index.m3u8?IASHttpSessionId=OTT
CCTV4,http://39.135.32.29:6610/PLTV/77777777/224/3221225775/index.m3u8?IASHttpSessionId=OTT
CCTV13,http://39.135.32.29:6610/PLTV/77777777/224/3221225787/index.m3u8?IASHttpSessionId=OTT
CCTV15,http://39.135.32.29:6610/PLTV/77777777/224/3221225830/index.m3u8?IASHttpSessionId=OTT
CCTV17,http://39.135.32.29:6610/PLTV/77777777/224/3221225833/index.m3u8?IASHttpSessionId=OTT
CCTV16,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226880/index.m3u8
CCTV4中文美洲,http://39.134.196.155/hlsmgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/57/index.m3u8?ProgramID=&encrypt=1
CCTV4中文欧洲,http://39.134.196.155/hlsmgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?ProgramID=&encrypt=1
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV第一剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000569&playtoken=ABCDEFGH&auth=no
CCTV风云剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000570&playtoken=ABCDEFGH&auth=no
CCTV怀旧剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000571&playtoken=ABCDEFGH&auth=no
CCTV兵器科技,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000572&playtoken=ABCDEFGH&auth=no
